00A,Bensalem
0CA7,Seal Beach
0CA8,Aguanga
0CA9,Shandon
0CD0,Delta
0CD1,Fort Morgan
0CD2,Yoder
0CD3,Kersey
0CD4,Denver
0CD5,Trinidad
0CD6,Lafayette
0CD7,Lafayette
0CD8,Lamar
0CD9,Littleton
0CL0,Raymond
0CL1,Adelanto
0CL2,Chula Vista
0CL3,Chula Vista
0CL4,Glendale
0CL5,Irvine
0CL6,Lancaster
0CL7,Los Angeles
0CL8,Ridgecrest
0CL9,Romoland
0CO0,Longmont
0CO1,Louisville
0CO2,Crested Butte
0CO3,Bennett
0CO4,Fort Collins
0CO5,Last Chance
0CO6,Norwood
0CO7,Fort Collins
0CO8,Mead
0CO9,Monte Vista
0CT0,Sharon
0CT1,Wallingford
0CT2,Willimantic
0CT3,New Britain
0CT4,Prospect
0CT5,Hartford
0CT6,Middletown
0CT7,Bridgeport
0CT8,Danbury
0CT9,Hartford
0D6,Wilber
0D7,Ada
0,Corydon
0FA0,Miami
0FA1,Arcadia
0FA2,Perry
0FD0,Ormond Beach
0FD1,Panama City Beach
0FD2,Miami
0FD3,Freeport
0FD4,Reddick
0FD5,Defuniak Springs
0FD6,Sebastian
0FD9,Defuniak Springs
0FL0,Clewiston
0FL1,Branford
0FL2,Geneva
0FL3,Old Town
0FL4,Alford
0FL5,Belle Isle
0FL6,Lithia
0FL7,Orlando
0FL8,Jacksonville
0FL9,Clewiston
0G0,Lockport
0G5,Grand Marais
0GA0,Hampton
0GA1,Hartwell
0GA2,Hartwell
0GA3,Temple
0GA4,High Shoals
0GA5,Jasper
0GA6,Jersey
0GA7,Temple
0GA8,Valdosta
0GA9,Roberta
0GE0,Douglasville
0GE1,Irwinville
0GE3,Trenton
0GE4,Sunnyside
0GE5,Cleveland
0GE7,Appling
0GE9,Rocky Ford
0H7,Kahoka
0I2,Brazil
0IA0,Knoxville
0IA1,Carroll
0IA2,Audubon
0IA3,Waterloo
0IA4,Mediapolis
0IA5,Millerton
0IA6,Victor
0IA7,Cromwell
0IA8,Center Point
0IA9,Middleton
0ID0,Featherville
0ID1,Filer
0ID2,May
0ID3,Mountain Home
0ID4,Shoshone
0ID5,Oreana
0ID6,Salmon
0ID7,Murphy
0ID8,Grangeville
0II0,Albany
0II1,Bremen
0II2,Bremen
0II3,Bunker Hill
0II5,Chalmers
0II6,Goshen
0II7,Greenfield
0II8,Lowell
0II9,Hall
0IL0,Mc Leansboro
0IL1,Broadview
0IL2,Alma
0IL3,Danville
0IL4,Downers Grove
0IL6,De Kalb
0IL8,De Kalb
0IL9,De Kalb
0IN1,Decker
0IN2,Tocsin
0IN3,Winamac
0IN4,Woodburn
0IN5,Byrneville
0IN7,Indianapolis
0IN8,Indianapolis
0IN9,Mount Vernon
0IS0,Rock Island
0IS2,Glenview
0IS3,Deer Grove
0IS4,Lovington
0IS6,Dongola
0IS8,Quincy
0IS9,West Brooklyn
0J0,Abbeville
0J8,Archer
0K6,Inola
0KS0,Osage City
0KS2,Ottawa
0KS3,Ottawa
0KS4,Lawrence
0KS6,Peck
0KS7,Cheney
0KS8,Parsons
0KS9,Douglas
0KY0,Owenton
0KY1,Franklin
0KY2,Hartford
0KY3,Load
0KY4,Owensboro
0KY5,Bowling Green
0KY6,Burnaugh
0KY7,Clinton
0KY8,Manchester
0KY9,Whitesburg
0L4,Goldfield
0L5,Goldfield
0L6,Winnfield
0LA0,Hackberry
0LA1,Gonzales
0LA2,Gonzales
0LA3,Belcher
0LA4,Vivian
0LA5,Grand Isle
0LA6,Grand Isle
0LA7,Grand Isle
0LA8,Jonesboro
0LA9,Watson
0LL0,Belvidere
0LL1,Jerseyville
0LL2,St. Augustine
0LL3,Jerseyville
0LL4,La Salle
0LL5,St Joseph
0LL6,Sandwich
0LL7,Sandwich
0LL9,Savanna
0LS0,Thibodaux
0LS2,Golden Meadow
0LS3,Venice
0LS4,Bunkie
0LS5,Cankton
0LS6,Morrow
0LS7,New Roads
0LS8,Woodlawn
0LS9,Monroe
0MA1,Boston
0MA2,Leominster
0MA3,Rehoboth
0MA4,Boston
0MA5,Brockton
0MA6,Boston
0MA8,Everett
0MA9,Westminster
0MD0,Glen Burnie
0MD1,Sudlersville
0MD2,Cobb Island
0MD3,Baltimore
0MD4,Chestertown
0MD5,Laurel
0MD6,Mount Airy
0MD7,Queenstown
0MD8,Arbutus
0MD9,Prince Frederick
0ME4,Otis
0MI0,Grand Rapids
0MI1,Gladwin
0MI2,Glennie
0MI3,Grayling
0MI4,Gwinn
0MI6,Hulbert
0MI7,Carleton
0MI8,Lewiston
0MI9,Detroit
0MN0,St Paul Park
0MN1,St. Peter
0MN2,Sandstone
0MN3,Jenkins
0MN4,Nisswa
0MN5,Springfield
0MN6,Spring Valley
0MN7,Ely
0MN8,Stillwater
0MN9,Big Lake
0MO0,Clinton
0MO1,Creighton
0MO2,Caledonia
0MO3,Drexel
0MO4,Kansas City
0MO5,Edina
0MO6,Edina
0MO7,Lake Saint Louis
0MO8,Elsberry
0MO9,Ferguson
0MS0,Meridian
0MS1,Meadville
0MS2,Seminary
0MS3,Oxford
0MS4,Gulfport
0MS5,Leland
0MS6,Pass Christian
0MS7,Pontotoc
0MS8,Benoit
0MS9,Houston
0MT1,Augusta
0MT2,Big Sandy
0MT3,Hamilton
0MT4,Hamilton
0MT5,Laurel
0MT6,Marion
0MT7,Thompson Falls
0MT8,West Glacier
0MT9,White Fish
0MU0,Ellington
0MU1,Avilla
0MU2,Florissant
0MU3,Hannibal
0MU4,Marceline
0MU5,Holden
0MU6,Higginsville
0MU7,Lone Jack
0MU8,Millersville
0MY0,Kenyon
0MY1,Bozeman
0N0,Liberty
0N4,Dover
0N5,Dover
0N6,Felton
0NA1,Barney
0NA5,Maddock
0NA9,Golva
0NC0,Goldsboro
0NC1,Hendersonville
0NC2,Pinehurst
0NC3,Plymouth
0NC4,Raleigh
0NC5,Rocky Mount
0NC6,Scotland Neck
0NC7,Madison
0NC8,Cleveland
0NC9,Henderson
0ND0,Flora
0ND6,Hague
0ND7,Hazelton
0NE0,Ashby
0NE1,Ashby
0NE2,Ashby
0NE3,Syracuse
0NE4,Franklin
0NE5,Big Springs
0NE6,Fairfield
0NJ0,Atlantic City
0NJ1,Bayville
0NJ2,Morristown
0NJ3,Mount Holly
0NJ4,Morris Plains
0NJ5,Netcong
0NJ6,Linwood
0NJ7,Newark
0NJ8,Newark
0NJ9,New Brunswick
0NK0,Cattaraugus
0NK1,Central Square
0NK2,Charlton
0NK3,Groveland
0NK4,Hempstead
0NK5,Hopewell Junction
0NK6,Marathon
0NK7,Armonk
0NK8,Attlebury
0NK9,Chittenango
0NM0,Columbus
0NM7,Reserve
0NV1,Las Vegas
0NY0,North Creek
0NY1,Northumberland
0NY3,Ohio
0NY5,Oneida
0NY6,Auburn
0NY7,Perth
0NY8,Perth
0O0,Los Banos
0O4,Corning
0O9,Gasquet
0OH1,Chagrin Falls
0OH2,North Hampton
0OH3,Forest Park
0OH6,Spring Valley
0OH7,Piqua
0OH8,Piqua
0OH9,Plain City
0OI0,East Canton
0OI1,Fostoria
0OI2,Greenfield
0OI3,Sandusky
0OI4,Hiram
0OI6,Kingsville
0OI9,Lucasville
0OK0,Edmond
0OK1,Elmore City
0OK2,El Reno
0OK3,Geary
0OK4,Coal Gate
0OK5,Guthrie
0OK6,Guthrie
0OK7,Shattuck
0OK8,Covington
0OK9,Jennings
0OR0,Medford
0OR2,Merlin
0OR3,Merrill
0OR4,Metolius
0OR5,Eagle Point
0OR6,Rome
0OR7,Monmouth
0OR8,White City
0OR9,Mount Hood
0P0,Norristown
0P1,Prairie View
0P2,Stewartstown
0PA0,Hilltown
0PA1,Norristown
0PA2,Shermans Dale
0PA3,Troy
0PA4,Hummelstown
0PA5,Franklin
0PA6,Huntingdon
0PA7,Media
0PA8,Scranton
0PA9,Perkasie
0PN0,Sheakeyville
0PN1,Freeport
0PN2,Slippery Rock
0PN3,Collegeville
0PN4,New Bloomfield
0PN5,Spartansburg
0PN6,Three Springs
0PN7,Newburg
0PN8,Titusville
0PN9,Titusville
0PS0,Tylersburg
0PS1,York
0PS2,Weatherly
0PS3,Carsonville
0PS4,Curwensville
0PS5,East Bangor
0PS6,East Prospect
0PS7,Elizabethville
0PS8,Erie
0PS9,Fairless Hills
0Q3,Schellville/Sonoma
0Q4,Selma
0Q6,Shingletown
0Q9,Sonoma
0R2,Lincoln
0R7,Coushatta
0R9,Plainville
0S1,Meadow Creek
0S2,Stockton
0S5,Nez Perce
0SD0,Glencross
0SD1,Wakonda
0SD2,Watertown
0SD3,Hoover
0SD4,Brookings
0SD5,Custer
0SD6,Philip
0SD7,Wanblee
0SD8,Vivian
0SD9,Custer
0T3,Marble Hill
0T7,Allen
0TA0,Lamarque/Texas City
0TA1,Halfway
0TA2,Halfway
0TA3,Dryden
0TA4,Kaufman
0TA5,Houston
0TA6,Ingleside
0TA7,Marfa
0TA8,Paris
0TA9,Port Bolivar
0TE0,Comstock
0TE1,Corpus Christi
0TE2,Hurst
0TE3,Roaring Springs
0TE4,Hilltop Lakes
0TE5,Laredo
0TE6,Gorman
0TE7,Johnson City
0TE8,College Station
0TE9,College Station
0TN0,Spring Hill
0TN1,Tullahoma
0TN2,Greenback
0TN3,Knoxville
0TN4,Knoxville
0TN5,Murfreesboro
0TN6,Norris
0TN7,Knoxville
0TN8,Chattanooga
0TN9,Knoxville
0TS0,Flower Mound
0TS1,Justin
0TS2,Haslet
0TS3,Houston
0TS4,Ledbetter
0TS5,Cleveland
0TS6,Houston
0TS7,Mineral Wells
0TS8,Mercedes
0TS9,Niederwald
0TT8,"San Jose, Tinian"
0TX0,Granbury
0TX1,Granbury
0TX2,Grand Prairie
0TX3,Carthage
0TX4,Grand Prairie
0TX5,Flower Mound
0TX6,Seguin
0TX7,Grapevine
0TX8,Greenville
0TX9,Greenville
0U0,Landmark
0U1,Lowman
0U2,Mackay
0U3,Mahoney Creek
0U7,Martin
0U8,May
0U9,Midvale
0VA0,Bumpass
0VA1,Bedford
0VA2,Iron Gate
0VA3,Manquin
0VA4,Rocky Mount
0VA5,Richmond
0VA6,Richmond
0VA7,Richmond
0VA8,Mannboro
0VA9,Gloucester Court House
0VI1,Manquin
0W0,Seattle
0W7,Bellingham
0WA0,Machias
0WA1,Chehalis
0WA2,Curtis
0WA3,Stevenson
0WA4,East Wenatchee
0WA5,Mount Vernon
0WA6,Edmonds
0WA7,Newman Lake
0WA8,Seattle
0WA9,Everett
0WI0,Milwaukee
0WI1,Comstock
0WI2,Monches
0WI3,Elkhorn
0WI4,Montello
0WI5,Husher
0WI6,Muskego
0WI7,Neenah
0WI8,Oconomowoc
0WI9,Oregon
0WN0,Sequim
0WN1,Selah
0WN2,Kennewick
0WN4,Olympia
0WN5,North Cape
0WN6,Blaine
0WN7,Enumclaw
0WN8,Coeur D'Alene
0WN9,Omak
0WY0,Freedom
0WY1,Basin
0XA0,Dallas
0XA2,Eagle Pass
0XA3,Freeport
0XA4,Freer
0XA5,Campbellton
0XA6,Lubbock
0XA7,Georgetown
0XA8,Dripping Springs
0XA9,Mansfield
0XS0,Catarina
0XS1,El Campo
0XS2,Sonora
0XS3,Palacios
0XS4,Allen
0XS5,South Padre Island
0XS6,Spicewood
0XS7,Spofford
0XS8,Spofford
0XS9,Bullard
0Y4,Hartley
0Y6,Lake Mills
0Z2,Denali
0Z3,Dillingham
10AK,Wasilla
10AL,Bridgeport
10AR,Huntsville
10AZ,Buckeye
10CA,Apple Valley
10CL,Bakersfield
10CO,Burlington
10D,Winsted
10F,Graham
10FA,Leesburg
10FD,Dunnellon
10FL,Marathon
10GA,Griffin
10IA,Waterloo
10ID,Muldoon
10II,Rensselaer
10IL,Kankakee
10IN,Connersville
10KS,Kansas City
10KY,Louisville
10LA,Scott
10LS,Youngsville
10MA,Ware
10MI,Saginaw
10MN,Ironton
10MO,Williamsburg
10MS,Moss Point
10MT,Haxby
10MU,Neosho
10NC,Jackson
10ND,Halliday
10NE,Omaha
10NH,Hampstead
10NJ,Trenton
10NY,Remsen
10OH,Huron
10OK,Norman
10OR,Vernonia
10PA,Essington
10PN,Philadelphia
10TA,Houston
10TE,Harwood
10TN,Lebanon
10TS,Marion
10TX,Ingleside
10UT,Hurricane
10VA,Appomattox
10WA,Spokane
10WI,Pound
10WY,Kaycee
10XS,Brownwood
11AK,Delta Junction
11AL,Fort Rucker/Ozark
11AR,Hot Springs
11AZ,Huachuca City
11CA,Fowler
11CL,Adelanto
11CO,Denver
11FA,Homestead
11FD,Crestview
11FL,Middleburg
11G,Smiths Creek
11GA,Decatur
11GE,Cumming
11ID,Riddle
11II,Nineveh
11IL,Kankakee
11IN,Danville
11IS,Effingham
11KS,Tonganoxie
11KY,Louisville
11LA,Venice
11LL,Chenoa
11LS,Glenmora
11M,Fulton
11MA,Wareham
11MD,Salisbury
11MI,Clarkston
11MN,Chisholm
11MO,Williamsburg
11N,New Milford
11NC,Youngsville
11NE,Harrison
11NJ,Pluckemin
11NK,Fort Plain
11NY,Spencer
11OA,Bremen
11OG,Unity
11OH,Washington Court House
11OK,Purcell
11OR,Sutherlin
11PA,Mechanicsburg
11PN,Cranberry
11S,Sekiu
11TA,Houston
11TE,Grandview
11TN,Clarksville
11TS,Mexia
11TX,Sherman
11VA,Chesapeake
11VG,Oak Grove
11WA,Spokane
11WI,Stanley
11WN,Lodi
11Y,Chilton
12A,Conway
12AL,Fort Rucker/Kirklands Crossroads
12AR,Marvell
12AZ,Morristown
12CA,Lodi
12CL,Stratford
12CO,Hotchkiss
12FA,Clermont
12FD,Kissimmee
12FL,Orlando
12GA,Snellville
12GE,Riceboro
12I,Brookville
12IA,Lemars
12ID,Salmon
12II,Centerville
12IL,Kankakee
12IN,Darmstadt
12IS,Aledo
12JY,Pittstown
12KS,Sedgwick
12KY,New Castle
12LA,Sulphur
12LL,Wolf Lake
12LS,Rayne
12MA,Holliston
12MD,Baltimore
12ME,Searsmont
12MI,Davison
12MN,Lake Hubert
12MO,Windsor
12MS,Woodville
12MT,Hingham
12NC,Atlantic
12ND,Burlington
12NE,Scottsbluff
12NH,Sanbornton
12NJ,Lodi
12NK,Westport
12NM,Columbus
12NY,West Winfield
12OA,Defiance
12OH,Brookville
12OK,Oklahoma City
12OR,Jordan Valley
12PA,Gettysburg
12PN,Philadelphia
12PR,San Juan
12PS,Lewisville
12S,Monument
12SC,Elgin
12T,Ferris/Red Oak
12TA,Houston
12TE,Brady
12TN,Kingston
12TS,Mineral Wells
12TX,Bertram
12VA,Clifton Forge
12WA,Spokane
12WI,Medford
12WT,Palouse
12WY,Burlington
12XS,Butlerville
13AK,Houston
13AL,Fort Rucker/Ozark
13AR,Pine Bluff
13AZ,Tonopah
13CA,Lake Arrowhead
13CL,Dixon
13CO,Steamboat Springs
13D,Highland
13FA,Hastings
13FD,Orlando
13FL,Zephyrhills
13GA,Sylvester
13GE,Oak Park
13IA,Sabula
13ID,Stanley
13II,Fort Wayne
13IN,Decatur
13JY,Port Reading
13KS,Andover
13KY,Owensboro
13LA,Cameron
13LL,Melrose Park
13LS,Kaplan
13M,Howell
13MA,Palmer
13ME,Rockwood
13MI,Dowagiac
13MN,Ashby
13MO,Lenox
13MS,Carriere
13MT,Kremlin
13N,Andover
13NC,Pollocksville
13NE,Culbertson
13NJ,Princeton
13NK,Pawling
13NM,Silver City
13NY,Stony Brook
13OH,Jewell
13OI,Dover
13OK,Mc Alester
13OR,Oakridge
13PA,Tidioute
13PN,Quakertown
13PS,Nazareth
13Q,Apache Creek
13S,Lake Louise
13SC,Gaffney
13TA,Beaumont
13TE,Bryan
13TN,Vonore
13TS,Oilton
13TX,Sonora
13VA,Fairfax
13VG,Salem
13W,Stanwood
13WA,Everett
13WI,Markesan
13XS,Rockwall
13Y,Littlefork
13Z,Loring
14AK,Palmer
